"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
13673101E1	-9.671688080E-3	1.473280787E-2	1.886749268E-2	2.581820013E-2
1.014472742E1	-9.670354426E-3	5.155473948E-3	2.365589142E-2	2.607097745E-2
1.015272460E1	2.299360931E-3	5.108207464E-3	2.844619751E-2	2.899253347E-2
1.016072386E1	-9.625144303E-3	1.229128242E-2	2.844524384E-2	3.244766437E-2
1.016872620E1	2.299338579E-3	1.473289728E-2	3.562736511E-2	3.862194150E-2
1.017672613E1	-7.373318076E-3	5.203962326E-3	3.083896637E-2	3.213236515E-2
1.018472613E1	9.386114776E-3	1.243451238E-2	3.562641144E-2	3.888389693E-2
1.019272519E1	4.455342889E-3	2.857148647E-3	2.844429016E-2	2.893252532E-2
1.020072027E1	-3.330558538E-4	1.243394613E-2	3.083896637E-2	3.325290648E-2
1.020871468E1	2.110354602E-3	1.248127222E-2	2.126026154E-2	2.474337231E-2
1.021670952E1	-2.724580467E-3	5.345970392E-3	3.801918030E-2	3.848974940E-2
1.022470468E1	-7.657937706E-3	1.248124242E-2	4.041671753E-2	4.298763169E-2
1.023270081E1	-2.869538963E-3	2.808719873E-3	1.647663116E-2	1.695884830E-2
1.024069761E1	-5.452565849E-3	1.018172503E-2	3.323268890E-2	3.518251854E-2
1.024869835E1	-5.500450730E-3	7.691740990E-3	2.126502991E-2	2.327271653E-2
1.025669640E1	-6.148815155E-4	5.565285683E-4	2.844524384E-2	2.845733122E-2
1.026469476E1	-5.355380476E-3	1.008546352E-2	2.605247498E-2	2.844517757E-2
1.027269273E1	-7.704399526E-3	1.013439894E-2	2.844429016E-2	3.116314260E-2
1.028069136E1	-5.215741694E-3	1.501917839E-2	3.322792053E-2	3.683577587E-2
1.028868660E1	-5.214408040E-3	3.047645092E-3	2.125740051E-2	2.209876169E-2
1.029668187E1	-2.870775759E-3	7.693499327E-3	2.126312256E-2	2.279367602E-2
1.030467863E1	-2.773687243E-3	1.008713245E-2	3.562736511E-2	3.713155972E-2
1.031267468E1	-5.116917193E-3	1.965484023E-2	3.083801270E-2	3.692531128E-2
1.032066948E1	-2.792924643E-4	5.384802818E-3	3.083419800E-2	3.130210651E-2
1.032866702E1	-2.568311989E-3	1.738697290E-2	4.280376434E-2	4.627164677E-2
1.033666648E1	2.320572734E-3	1.502254605E-2	3.322410583E-2	3.653632653E-2
1.034466085E1	-4.948377609E-3	1.265206933E-2	2.604293823E-2	2.937338814E-2
1.035265542E1	-2.595081925E-3	1.966527104E-2	2.844142914E-2	3.467523939E-2
1.036065195E1	4.545912147E-3	1.264733076E-2	3.083229065E-2	3.363406665E-2
1.036864995E1	2.253480256E-3	1.744595170E-2	2.604198456E-2	3.142649143E-2
1.037664956E1	-1.372694969E-4	1.023411751E-2	3.322505951E-2	3.476579617E-2
1.038464589E1	-2.480223775E-3	5.421876907E-3	2.604293823E-2	2.671671557E-2
