"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
191E1	6.048107147E-2	-5.870363116E-2	2.768373489E-2	8.871564403E-2
1.639358789E1	5.429983139E-2	-5.193263292E-2	2.456378937E-2	7.904966666E-2
1.640159320E1	6.020784378E-2	-2.904009819E-2	-9.734630585E-3	6.755053507E-2
1.640959921E1	5.687856674E-2	-2.097424865E-2	-6.580877304E-2	8.947561159E-2
1.641760378E1	4.881334305E-2	-3.536432981E-3	-9.318161011E-2	1.052523695E-1
1.642561300E1	4.891872406E-3	1.386392117E-2	-7.989025116E-2	8.123171152E-2
1.643362027E1	-1.037216187E-2	3.152596951E-2	-5.458784103E-2	6.388505994E-2
1.644162613E1	-1.383304596E-2	2.571743727E-2	-5.552148819E-2	6.273257042E-2
1.644962961E1	-3.185939789E-2	2.029603720E-2	-3.238487244E-2	4.975671133E-2
1.645763214E1	-4.794549942E-2	2.258795500E-2	-1.133203506E-2	5.419780110E-2
1.646563582E1	-6.187868118E-2	3.710705042E-2	1.706933975E-2	7.414355491E-2
1.647364097E1	-3.560066223E-2	2.827224135E-2	4.101467133E-2	6.122850681E-2
1.648164593E1	-4.089927673E-2	1.748231053E-2	6.287860870E-2	7.702013666E-2
1.648965128E1	-1.058101654E-3	-5.195528269E-3	7.063341141E-2	7.083213889E-2
1.649765546E1	1.425027847E-2	5.731761456E-3	4.291200638E-2	4.557810678E-2
1.650565804E1	4.132318497E-2	-1.765191555E-4	3.928899765E-2	5.701983963E-2
1.651366367E1	3.692817688E-2	-8.843809366E-3	4.073190689E-2	5.568654641E-2
1.652166683E1	4.205656052E-2	-1.059022546E-2	-5.655765533E-3	4.373665330E-2
1.652966718E1	1.394128799E-2	6.423979998E-3	-4.025650024E-2	4.308378862E-2
1.653766589E1	-1.643800735E-2	3.262305260E-2	-7.253837585E-2	8.121753270E-2
1.654566796E1	-3.716135025E-2	4.437792301E-2	-1.216335297E-1	1.347036805E-1
1.655367285E1	-4.793882370E-2	4.443731904E-2	-1.542592049E-1	1.675371852E-1
1.656167597E1	-5.380678177E-2	4.232355952E-2	-1.367092133E-1	1.528916690E-1
1.656968285E1	-5.467748642E-2	3.829592466E-2	-1.289162636E-1	1.451744068E-1
1.657768687E1	-3.134632111E-2	2.025383711E-2	-7.345199585E-2	8.238935282E-2
1.658568867E1	-7.673740387E-3	9.548246861E-3	-4.698085785E-2	4.855158405E-2
1.659368933E1	-2.881050110E-3	8.223652840E-3	-2.788591385E-2	2.921563121E-2
1.660169062E1	-2.727508545E-4	-1.462209225E-2	-6.554603577E-3	1.602631594E-2
1.660969062E1	7.564544678E-3	-1.358368993E-2	1.205635071E-2	1.967471882E-2
1.661769187E1	-1.545476913E-2	-2.959704399E-2	3.527069092E-2	4.856806090E-2
1.662569378E1	-1.431655884E-2	-3.897330165E-2	3.441095352E-2	5.392583630E-2
